Name,Disc. Date,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch
ASASSN-14bb,2014-05-19,12h14m11.3s,38d39m40.8s,1,1,0,855914518.995,855914518.995
ASASSN-14bd,2014-05-20,12h52m44.8s,26d28m13s,7,7,0,771230446.495,926156547.995
ASASSN-14bd,2014-05-20,12h52m44.8s,26d28m13s,11,11,0,765810308.995,926156547.995
ASASSN-14cu,2014-06-18,12h47m02.68s,-24d14m41.3s,1,1,0,859033792.495,859033792.495
ASASSN-14cu,2014-06-18,12h47m02.68s,-24d14m41.3s,2,2,0,830090277.495,859033792.495
ASASSN-14db,2014-06-22,22h02m01.85s,-70d02m26.1s,1,1,0,866800342.495,866800342.495
ASASSN-14db,2014-06-22,22h02m01.85s,-70d02m26.1s,1,1,0,866800342.495,866800342.495
ASASSN-14dc,2014-06-26,2h18m37.82s,33d37m01.7s,1,1,0,1005663318.995,1005663318.995
ASASSN-14em,2014-07-24,14h01m49.99s,34d21m42.7s,1,1,0,864333840.495,864333840.495
ASASSN-14em,2014-07-24,14h01m49.99s,34d21m42.7s,1,1,0,864333840.495,864333840.495
ASASSN-14ep,2014-07-27,15h23m44.06s,68d37m55.6s,1,1,0,763229206.495,763229206.495
ASASSN-14ep,2014-07-27,15h23m44.06s,68d37m55.6s,1,1,0,763229206.495,763229206.495
ASASSN-14es,2014-07-29,14h35m01.754s,26d32m38.91s,1,1,0,864410500.995,864410500.995
ASASSN-14es,2014-07-29,14h35m01.754s,26d32m38.91s,1,1,0,864410500.995,864410500.995
ASASSN-14ew,2014-08-06,20h22m00.88s,-51d47m46.5s,2,2,0,744124689.995,747167095.995
ASASSN-14ew,2014-08-06,20h22m00.88s,-51d47m46.5s,2,2,0,744124689.995,747167095.995
ASASSN-14fa,2014-08-07,2h52m23.06s,-31d49m18s,2,2,0,876320197.495,882898781.495
ASASSN-14fa,2014-08-07,2h52m23.06s,-31d49m18s,3,3,0,876320197.495,1004338571.995
ASASSN-14hr,2014-09-25,1h50m41.23s,-14d31m04.75s,2,2,0,782420828.495,782474099.495
ASASSN-14hr,2014-09-25,1h50m41.23s,-14d31m04.75s,2,2,0,782420828.495,782474099.495
ASASSN-14ig,2014-09-21,1h16m04.95s,-61d37m16.6s,1,1,0,748450704.995,748450704.995
ASASSN-14ig,2014-09-21,1h16m04.95s,-61d37m16.6s,1,1,0,748450704.995,748450704.995
ASASSN-14ii,2014-09-22,22h16m40.78s,-36d09m39.9s,2,2,0,870782472.495,872486223.995
ASASSN-14ii,2014-09-22,22h16m40.78s,-36d09m39.9s,2,2,0,870782472.495,872486223.995
ASASSN-14in,2014-10-04,18h24m29.61s,52d26m32.8s,2,2,0,841585077.995,842064372.495
ASASSN-14in,2014-10-04,18h24m29.61s,52d26m32.8s,2,2,0,841585077.995,842064372.495
ASASSN-14iu,2014-10-12,9h10m39.53s,50d22m48.26s,1,1,0,855785634.495,855785634.495
ASASSN-14iu,2014-10-12,9h10m39.53s,50d22m48.26s,2,2,0,851478386.995,855785634.495
ASASSN-14jc,2014-10-19,7h35m35.288s,-62d46m12.64s,2,2,0,856968365.995,856980196.995
ASASSN-14jc,2014-10-19,7h35m35.288s,-62d46m12.64s,2,2,0,856968365.995,856980196.995
ASASSN-14jz,2014-11-11,18h44m44.34s,-52d48m05.48s,2,2,0,838557047.995,840036046.495
ASASSN-14jz,2014-11-11,18h44m44.34s,-52d48m05.48s,2,2,0,838557047.995,840036046.495
ASASSN-14kd,2014-11-12,22h53m24.95s,4d47m57.3s,2,2,0,776207884.495,776213805.995
ASASSN-14kr,2014-11-23,12h54m13.15s,-7d38m57.46s,1,1,0,861051089.495,861051089.495
ASASSN-14kr,2014-11-23,12h54m13.15s,-7d38m57.46s,1,1,0,861051089.495,861051089.495
ASASSN-14lo,2014-12-09,11h51m53.19s,18d32m31s,1,1,0,858779218.495,858779218.495
ASASSN-14lo,2014-12-09,11h51m53.19s,18d32m31s,3,3,0,796048877.495,858779218.495
ASASSN-14lp,2014-12-09,12h45m09.1s,-0d27m32.4s,7,7,0,765561610.495,925990858.995
ASASSN-14lp,2014-12-09,12h45m09.1s,-0d27m32.4s,7,7,0,765561610.495,925990858.995
ASASSN-14lq,2014-12-09,22h57m19.41s,-20d58m00.8s,2,2,0,750694726.495,811788548.495
ASASSN-14lq,2014-12-09,22h57m19.41s,-20d58m00.8s,4,4,0,750694726.495,1003008335.995
ASASSN-14lt,2014-12-11,3h11m02.54s,-13d06m38.76s,6,6,0,849418486.995,910088881.995
ASASSN-14lt,2014-12-11,3h11m02.54s,-13d06m38.76s,6,6,0,849418486.995,910088881.995
ASASSN-14lu,2014-12-09,14h10m39.52s,-2d40m56s,2,2,0,768609654.995,892240677.495
ASASSN-14lu,2014-12-09,14h10m39.52s,-2d40m56s,2,2,0,768609654.995,892240677.495
ASASSN-14lv,2014-12-12,23h32m07.37s,-41d16m11.76s,2,2,0,871138003.995,871972108.495
ASASSN-14lv,2014-12-12,23h32m07.37s,-41d16m11.76s,2,2,0,871138003.995,871972108.495
ASASSN-14lw,2014-12-12,1h06m49.17s,-46d58m59.96s,2,2,0,875036544.495,875107548.995
ASASSN-14lw,2014-12-12,1h06m49.17s,-46d58m59.96s,2,2,0,875036544.495,875107548.995
AT2014gd,2014-11-06,1h13m30.63s,49d36m34.9s,1,1,0,1001422368.995,1001422368.995
Caleb,2005-12-12,14h32m28.748s,33d32m10.05s,2,0,2,829048011.995,861897027.495
Caleb,2005-12-12,14h32m28.748s,33d32m10.05s,39,13,26,800776425.495,861897027.495
Cayanne,2004-08-27,12h37m27.11s,62d12m07.68s,82,44,38,759099241.995,895311189.995
Cayanne,2004-08-27,12h37m27.11s,62d12m07.68s,131,77,54,759099241.995,983731612.995
CSS091127:094447+083137,2009-11-27,9h44m47.1s,8d31m37s,1,1,0,824716960.495,824716960.495
CSS091127:094447+083137,2009-11-27,9h44m47.1s,8d31m37s,3,1,2,824716959.995,982199974.495
CSS100912:223118+010516,2010-09-12,22h31m18.33s,1d05m16s,1,1,0,777391235.995,777391235.995
CSS100912:223118+010516,2010-09-12,22h31m18.33s,1d05m16s,2,1,1,777391235.495,1002452302.995
CSS110701:014408+124812,2011-07-01,1h44m07.99s,12d48m12.1s,3,3,0,749534627.495,780882819.995
CSS110701:014408+124812,2011-07-01,1h44m07.99s,12d48m12.1s,3,3,0,749534627.495,780882819.995
CSS110701:014551+143502,2011-07-01,1h45m50.5s,14d35m00s,1,0,1,1005780724.995,1005780724.995
CSS120415:110518-083453,2012-04-15,11h05m18.02s,-8d34m53s,2,2,0,858099112.495,859027872.495
CSS120415:170824+030104,2012-04-15,17h08m24.35s,3d01m03.5s,1,1,0,866228110.495,866228110.495
CSS120415:170824+030104,2012-04-15,17h08m24.35s,3d01m03.5s,3,3,0,805977323.495,866228110.495
CSS120416:091631+075020,2012-04-16,9h16m30.57s,7d50m20.2s,8,8,0,761572224.995,915117308.495
CSS120416:091631+075020,2012-04-16,9h16m30.57s,7d50m20.2s,10,10,0,759500588.495,951451155.995
CSS120418:113531+054254,2012-04-18,11h35m31.02s,5d42m54.1s,1,1,0,762259036.995,762259036.995
CSS120917:164704+231612,2012-09-17,16h47m03.95s,23d16m11.6s,2,2,0,837822394.495,837828316.495
CSS120917:164704+231612,2012-09-17,16h47m03.95s,23d16m11.6s,3,3,0,799616892.995,837828316.495
CSS120925:003040+123156,2012-09-25,0h30m40.47s,12d31m56.4s,3,3,0,751032299.995,878058870.995
CSS120925:003040+123156,2012-09-25,0h30m40.47s,12d31m56.4s,3,3,0,751032299.995,878058870.995
CSS120926:171458+344754,2012-09-26,17h14m57.76s,34d47m53.8s,2,2,0,837964256.495,867759058.495
CSS120926:171458+344754,2012-09-26,17h14m57.76s,34d47m53.8s,2,2,0,837964256.495,867759058.495
CSS121005:212556+122328,2012-10-05,21h25m55.86s,12d23m27.8s,10,10,0,776740957.995,969475175.495
CSS121006:232854+085452,2012-10-06,23h28m54.48s,8d54m51.6s,3,3,0,749368383.995,779882980.495
CSS121006:232854+085452,2012-10-06,23h28m54.48s,8d54m51.6s,4,4,0,749368383.995,779882980.495
CSS121008:014245+213928,2012-10-08,1h42m44.76s,21d39m28.4s,2,2,0,753885243.995,845130206.495
CSS121008:014245+213928,2012-10-08,1h42m44.76s,21d39m28.4s,2,2,0,753885243.995,845130206.495
CSS121009:011101-172841,2012-10-09,1h11m01s,-17d28m41s,2,2,0,846797990.995,848395212.995
CSS121009:011101-172841,2012-10-09,1h11m01s,-17d28m41s,2,2,0,846797990.995,848395212.995
CSS121011:163803+372814,2012-10-11,16h38m03s,37d28m14s,1,1,0,991368068.495,991368068.495
CSS121014:233045-124838,2012-10-14,23h30m45s,-12d48m38s,4,4,0,845034337.495,904622567.995
CSS121014:233045-124838,2012-10-14,23h30m45s,-12d48m38s,4,4,0,845034337.495,904622567.995
CSS121106:003304+312335,2012-11-06,0h33m03.8s,31d23m35.3s,1,1,0,846880820.495,846880820.495
CSS121106:003304+312335,2012-11-06,0h33m03.8s,31d23m35.3s,1,1,0,846880820.495,846880820.495
CSS121112:002624+163027,2012-11-12,0h26m23.86s,16d30m27.4s,2,2,0,845916669.995,846182841.995
CSS121112:002624+163027,2012-11-12,0h26m23.86s,16d30m27.4s,2,2,0,845916669.995,846182841.995
CSS121114:090202+101800,2012-11-14,9h02m02.34s,10d18m00.1s,4,4,0,791126431.495,885349000.495
CSS121114:090202+101800,2012-11-14,9h02m02.34s,10d18m00.1s,4,4,0,791126431.495,885349000.495
CSS121212:025025+070218,2012-12-12,2h50m25s,7d02m18s,1,1,0,876806113.995,876806113.995
CSS121212:025025+070218,2012-12-12,2h50m25s,7d02m18s,1,1,0,876806113.995,876806113.995
CSS130218:092354+385837,2013-02-18,9h23m53.52s,38d58m36.8s,2,2,0,794327229.995,855832541.495
CSS130218:092354+385837,2013-02-18,9h23m53.52s,38d58m36.8s,3,3,0,794327229.995,855832541.495
CSS130317:082848+293031,2013-03-17,8h28m47.78s,29d30m30.8s,2,2,0,824183720.495,885720456.495
CSS130317:082848+293031,2013-03-17,8h28m47.78s,29d30m30.8s,2,2,0,824183720.495,885720456.495
CSS130413:130441+315257,2013-04-13,13h04m41.07s,31d52m56.6s,2,2,0,764881404.495,860264163.495
CSS130413:130441+315257,2013-04-13,13h04m41.07s,31d52m56.6s,2,2,0,764881404.495,860264163.495
CSS130421:145636+174410,2013-04-10,14h56m35.87s,17d44m12.6s,1,1,0,864648288.495,864648288.495
CSS130421:145636+174410,2013-04-10,14h56m35.87s,17d44m12.6s,1,1,0,864648288.495,864648288.495
CSS130502:102512+302715,2013-05-02,10h25m12.31s,30d27m14.5s,4,4,0,766585142.995,792841532.995
CSS130502:102512+302715,2013-05-02,10h25m12.31s,30d27m14.5s,4,4,0,766585142.995,792841532.995
CSS130502:114010+300146,2013-05-02,11h40m10.06s,30d01m45.7s,1,1,0,855968471.995,855968471.995
CSS130502:114010+300146,2013-05-02,11h40m10.06s,30d01m45.7s,1,1,0,855968471.995,855968471.995
CSS130502:115738+333229,2013-05-02,11h57m37.57s,33d32m28.9s,1,1,0,858785361.995,858785361.995
CSS130502:115738+333229,2013-05-02,11h57m37.57s,33d32m28.9s,1,1,0,858785361.995,858785361.995
CSS130509:165032+494344,2013-05-09,16h50m31.97s,49d43m44s,2,2,0,775237713.495,776024700.995
CSS130509:165032+494344,2013-05-09,16h50m31.97s,49d43m44s,2,2,0,775237713.495,776024700.995
CSS130512:144703+034951,2013-05-12,14h47m02.96s,3d49m50.7s,3,3,0,740459434.995,770283270.995
CSS130512:144703+034951,2013-05-12,14h47m02.96s,3d49m50.7s,3,3,0,740459434.995,770283270.995
CSS130905:015812-041446,2013-09-05,1h58m12.36s,-4d14m46.1s,2,2,0,781191114.495,782131849.495
CSS130905:015812-041446,2013-09-05,1h58m12.36s,-4d14m46.1s,3,3,0,781191114.495,939253770.495
CSS130913:013913-025241,2013-09-14,1h39m13.01s,-2d52m40.6s,1,1,0,752600577.495,752600577.495
CSS130913:013913-025241,2013-09-14,1h39m13.01s,-2d52m40.6s,1,1,0,752600577.495,752600577.495
CSS130924:004234+151746,2013-09-24,0h42m33.82s,15d17m45.8s,2,2,0,746296638.495,751030849.495
CSS130924:004234+151746,2013-09-24,0h42m33.82s,15d17m45.8s,2,2,0,746296638.495,751030849.495
CSS130925:225818-090644,2013-09-25,22h58m17.85s,-9d06m44.5s,1,1,0,745219569.995,745219569.995
CSS130925:225818-090644,2013-09-25,22h58m17.85s,-9d06m44.5s,2,2,0,745219569.495,778745934.995
CSS130930:020518+000556,2013-09-28,2h05m17.91s,0d05m55.6s,2,2,0,908639669.495,908657417.495
CSS130930:020518+000556,2013-09-28,2h05m17.91s,0d05m55.6s,2,2,0,908639669.495,908657417.495
CSS131003:030909-113532,2013-10-03,3h09m09.09s,-11d35m31.5s,4,4,0,815374839.495,876953531.995
CSS131003:030909-113532,2013-10-03,3h09m09.09s,-11d35m31.5s,4,4,0,815374839.495,876953531.995
CSS131004:231555+224932,2013-10-05,23h15m54.63s,22d49m32.1s,2,2,0,776645945.495,776651867.995
CSS131004:231555+224932,2013-10-05,23h15m54.63s,22d49m32.1s,3,3,0,776645945.495,808499146.995
CSS131023:221244+014803,2013-10-23,22h12m43.79s,1d48m03.3s,2,2,0,843070700.495,869428414.495
CSS131023:221244+014803,2013-10-23,22h12m43.79s,1d48m03.3s,4,4,0,843070700.495,937420179.495
CSS131031:095508+064831,2013-10-31,9h55m08.22s,6d48m31.4s,4,4,0,825107620.495,918110692.495
CSS131031:095508+064831,2013-10-31,9h55m08.22s,6d48m31.4s,4,4,0,825107620.495,918110692.495
CSS131210:043252+304855,2013-12-10,4h32m52.39s,30d48m54.7s,4,4,0,819563317.495,850767060.495
CSS131210:043252+304855,2013-12-10,4h32m52.39s,30d48m54.7s,4,4,0,819563317.495,850767060.495
CSS131224:020446-000718,2013-12-24,2h04m46.41s,-0d07m18.4s,2,2,0,908639669.495,908657417.495
CSS131224:020446-000718,2013-12-24,2h04m46.41s,-0d07m18.4s,2,2,0,908639669.495,908657417.495
CSS131225:030144-092044,2013-12-25,3h01m44.32s,-9d20m43.5s,5,5,0,876540012.995,909929138.495
CSS131225:030144-092044,2013-12-25,3h01m44.32s,-9d20m43.5s,5,5,0,876540012.995,909929138.495
CSS140103:082332+283814,2014-01-03,8h23m32.1s,28d38m14s,2,2,0,820693742.495,822131397.495
CSS140103:082332+283814,2014-01-03,8h23m32.1s,28d38m14s,3,3,0,820693742.495,947949781.495
CSS140103:130555+112833,2014-01-03,13h05m54.94s,11d28m32.8s,1,1,0,861482057.495,861482057.495
CSS140103:130555+112833,2014-01-03,13h05m54.94s,11d28m32.8s,3,3,0,802261998.495,861482057.495
CSS140104:002811-041606,2014-01-04,0h28m10.9s,-4d16m06.2s,2,2,0,750610693.495,847642952.995
CSS140104:002811-041606,2014-01-04,0h28m10.9s,-4d16m06.2s,2,2,0,750610693.495,847642952.995
CSS140109:095728+274221,2014-01-10,9h57m28.35s,27d42m21s,2,2,0,824935310.995,859541205.495
CSS140109:095728+274221,2014-01-10,9h57m28.35s,27d42m21s,2,2,0,824935310.995,859541205.495
CSS140123:093027+411345,2014-01-23,9h30m27.32s,41d13m45.4s,2,2,0,763325014.495,856182172.995
CSS140123:093027+411345,2014-01-23,9h30m27.32s,41d13m45.4s,4,4,0,762691728.995,987215399.995
CSS140123:104818+204751,2014-01-23,10h48m17.66s,20d47m51.2s,2,2,0,856542291.495,856553837.495
CSS140123:104818+204751,2014-01-23,10h48m17.66s,20d47m51.2s,4,4,0,827935753.995,856553837.495
CSS140123:111719+361025,2014-01-23,11h17m18.76s,36d10m24.5s,1,1,0,793546331.995,793546331.995
CSS140123:111719+361025,2014-01-23,11h17m18.76s,36d10m24.5s,1,1,0,793546331.995,793546331.995
CSS140128:110457+300122,2014-01-14,11h04m57.1s,30d01m22s,1,1,0,793676232.495,793676232.495
CSS140128:110457+300122,2014-01-14,11h04m57.1s,30d01m22s,1,1,0,793676232.495,793676232.495
CSS140204:092250+292926,2014-02-06,9h22m49.75s,29d29m25.7s,2,2,0,821716829.495,886975219.995
CSS140204:092250+292926,2014-02-06,9h22m49.75s,29d29m25.7s,13,13,0,821716829.495,982660557.495
CSS140305:104323+013442,2014-03-05,10h43m23.11s,1d34m42.2s,4,4,0,764489386.495,859677895.995
CSS140305:104323+013442,2014-03-05,10h43m23.11s,1d34m42.2s,8,8,0,764489386.495,859677895.995
CSS140424:123226+154840,2014-04-24,12h32m25.66s,15d48m39.5s,2,2,0,860773180.995,895121776.495
CSS140424:123226+154840,2014-04-24,12h32m25.66s,15d48m39.5s,2,2,0,860773180.995,895121776.495
CSS140426:171938-010130,2014-04-28,17h19m38.28s,-1d01m30s,1,1,0,772911638.995,772911638.995
CSS140426:171938-010130,2014-04-28,17h19m38.28s,-1d01m30s,3,3,0,772911638.495,804002014.995
CSS140427:222246+192845,2014-04-29,22h22m46.07s,19d28m45.4s,2,2,0,842916015.495,868960294.495
CSS140427:222246+192845,2014-04-29,22h22m46.07s,19d28m45.4s,2,2,0,842916015.495,868960294.495
CSS140509:161445+023534,2014-05-09,16h14m45s,2d35m34s,1,1,0,768862909.995,768862909.995
CSS140509:161445+023534,2014-05-09,16h14m45s,2d35m34s,1,1,0,768862909.995,768862909.995
CSS140628:233025+060302,2014-06-29,23h30m25s,6d03m02s,2,2,0,872853732.495,874173165.495
CSS140628:233025+060302,2014-06-29,23h30m25s,6d03m02s,2,2,0,872853732.495,874173165.495
CSS140831:012531+070251,2014-09-02,1h25m31s,7d02m51s,5,5,0,874013890.995,908213716.495
CSS140831:012531+070251,2014-09-02,1h25m31s,7d02m51s,5,5,0,874013890.995,908213716.495
CSS140914:010107-101840,2014-09-14,1h01m07.04s,-10d18m39.9s,2,2,0,874587065.495,877628008.995
CSS140914:010107-101840,2014-09-14,1h01m07.04s,-10d18m39.9s,2,2,0,874587065.495,877628008.995
CSS141117:030348+002415,2014-11-17,3h03m47.59s,0d24m14.6s,5,5,0,753955714.495,913230347.495
CSS141117:030348+002415,2014-11-17,3h03m47.59s,0d24m14.6s,5,5,0,753955714.495,913230347.495
DES12C1a,2012-12-07,3h38m54.5s,-27d32m28.2s,24,24,0,754843160.995,913123878.995
DES12C1a,2012-12-07,3h38m54.5s,-27d32m28.2s,57,57,0,754843160.995,975852926.495
DES12C1b,2012-12-07,3h35m05.8s,-26d45m53.9s,2,2,0,876224989.495,882495986.495
DES12C1b,2012-12-07,3h35m05.8s,-26d45m53.9s,5,5,0,876224989.495,974982914.995
DES12S2b,2013-02-05,2h44m00.31s,-0d15m26.6s,1,1,0,751315544.995,751315544.995
DES12S2b,2013-02-05,2h44m00.31s,-0d15m26.6s,2,2,0,751315544.495,1006023947.495
DES13C1juw,2013-10-02,3h38m31.04s,-27d02m34s,26,26,0,754843160.995,913123878.995
DES13C1juw,2013-10-02,3h38m31.04s,-27d02m34s,62,62,0,754843160.995,975852313.495
DES13E1ao,2013-08-29,0h29m07.55s,-43d08m27.6s,26,26,0,779036308.495,874930179.995
DES13E1ao,2013-08-29,0h29m07.55s,-43d08m27.6s,31,31,0,778515519.995,874930179.995
DES13E1dcb,2013-09-08,0h30m58.63s,-42d10m20.2s,35,35,0,749799715.995,871954721.995
DES13E1dcb,2013-09-08,0h30m58.63s,-42d10m20.2s,36,36,0,749799715.995,871954721.995
DES14C1bdv,2014-09-12,3h34m52.66s,-27d49m58.1s,111,111,0,752428627.995,913141606.995
DES14C1bdv,2014-09-12,3h34m52.66s,-27d49m58.1s,246,246,0,752428627.995,975870052.995
DES14C1es,2014-08-17,3h36m41.4s,-27d50m24s,59,59,0,754843160.995,913141623.995
DES14C1es,2014-08-17,3h36m41.4s,-27d50m24s,125,125,0,754843160.995,975870052.995
DES14C1qty,2014-12-09,3h34m06.22s,-27d37m55.6s,76,76,0,752428627.995,913106133.995
DES14C1qty,2014-12-09,3h34m06.22s,-27d37m55.6s,193,193,0,752428627.995,975834559.995
DES14C2fkd,2014-09-26,3h33m45.34s,-29d40m36.2s,33,33,0,814499196.995,911047634.495
DES14C2fkd,2014-09-26,3h33m45.34s,-29d40m36.2s,33,33,0,814499196.995,911047634.495
DES14C2fkf,2014-09-27,3h35m38.75s,-28d19m09.6s,39,39,0,818326901.495,913141623.995
DES14C2fkf,2014-09-27,3h35m38.75s,-28d19m09.6s,69,69,0,818326901.495,975870052.995
DES14C2gwx,2014-10-12,3h33m35.18s,-29d11m26.3s,67,67,0,814499196.995,911047634.495
DES14C2gwx,2014-10-12,3h33m35.18s,-29d11m26.3s,67,67,0,814499196.995,911047634.495
DES14C2ikn,2014-10-18,3h35m23.57s,-29d35m30.4s,2,2,0,876237382.995,882727241.995
DES14C2ikn,2014-10-18,3h35m23.57s,-29d35m30.4s,2,2,0,876237382.995,882727241.995
DES14C2kct,2014-10-31,3h39m35.46s,-28d54m38.8s,2,2,0,875787372.995,876491313.995
DES14C2kct,2014-10-31,3h39m35.46s,-28d54m38.8s,2,2,0,875787372.995,876491313.995
DES14C2pw,2014-08-20,3h38m02.38s,-29d19m49.2s,23,23,0,814493178.495,882727385.495
DES14C2pw,2014-08-20,3h38m02.38s,-29d19m49.2s,23,23,0,814493178.495,882727385.495
DES14C3cxt,2014-09-19,3h27m21.32s,-28d07m30s,27,27,0,754493199.495,913112048.995
DES14C3cxt,2014-09-19,3h27m21.32s,-28d07m30s,56,56,0,754493199.495,975840475.495
DES14C3foo,2014-10-01,3h28m09.1s,-27d31m58.5s,32,32,0,818237995.995,913135708.495
DES14C3foo,2014-10-01,3h28m09.1s,-27d31m58.5s,63,63,0,818237995.995,975864137.995
DES14C3gqv,2014-10-23,3h28m38.86s,-27d08m31.8s,34,34,0,818237995.995,913135708.495
DES14C3gqv,2014-10-23,3h28m38.86s,-27d08m31.8s,64,64,0,818237995.995,975864137.995
DES14C3hud,2014-10-19,3h28m39.14s,-28d06m29.7s,27,27,0,754493199.495,913112048.995
DES14C3hud,2014-10-19,3h28m39.14s,-28d06m29.7s,56,56,0,754493199.495,975840475.495
DES14C3nj,2014-08-17,3h34m03.05s,-28d19m05.4s,86,86,0,752434478.995,913141623.995
DES14C3nj,2014-08-17,3h34m03.05s,-28d19m05.4s,116,116,0,752434478.995,975870052.995
DES14C3rap,2014-12-09,3h31m11.39s,-27d57m33.5s,76,76,0,752428627.995,913106133.995
DES14C3rap,2014-12-09,3h31m11.39s,-27d57m33.5s,191,191,0,752428627.995,975834559.995
DES14E1anf,2014-09-02,0h33m56.13s,-43d20m59.1s,29,29,0,778953460.995,875018662.495
DES14E1anf,2014-09-02,0h33m56.13s,-43d20m59.1s,29,29,0,778953460.995,875018662.495
DES14E1tb,2014-08-17,0h28m48.01s,-43d33m44.2s,1,1,0,1002227552.495,1002227552.495
DES14E2u,2014-08-17,0h37m51.13s,-43d43m17.2s,66,66,0,747563003.995,875018527.995
DES14E2u,2014-08-17,0h37m51.13s,-43d43m17.2s,73,73,0,747563003.995,937922776.995
DES14S1lfk,2014-11-12,2h50m26.63s,-0d21m42.2s,5,5,0,876745814.995,913632558.995
DES14S1lfk,2014-11-12,2h50m26.63s,-0d21m42.2s,5,5,0,876745814.995,913632558.995
DES14S1rag,2014-12-09,2h50m15.02s,-0d44m41.9s,7,7,0,753707713.995,913632558.995
DES14S1rag,2014-12-09,2h50m15.02s,-0d44m41.9s,7,7,0,753707713.995,913632558.995
DES14S2bnq,2014-09-14,2h43m40.05s,-0d45m43s,1,1,0,751321491.495,751321491.495
DES14S2bnq,2014-09-14,2h43m40.05s,-0d45m43s,4,4,0,751321486.495,1006023947.495
DES14S2boa,2014-09-14,2h44m19.15s,-0d27m01.3s,1,1,0,1006023947.495,1006023947.495
DES14S2dbi,2014-09-22,2h41m04.3s,-0d57m18.9s,1,1,0,1006024573.495,1006024573.495
DES14S2pkz,2014-11-25,2h43m27.38s,-1d36m13.1s,2,2,0,751321490.995,753707283.995
DES14S2pkz,2014-11-25,2h43m27.38s,-1d36m13.1s,4,4,0,751321486.495,1005101462.495
DES14S2pon,2014-11-25,2h41m12.39s,-0d45m51.7s,1,1,0,1006024252.495,1006024252.495
DES14X1oes,2014-11-26,2h19m19.9s,-5d47m22s,16,16,0,782308597.995,877621952.495
DES14X1oes,2014-11-26,2h19m19.9s,-5d47m22s,16,16,0,782308597.995,877621952.495
DES14X2ags,2014-09-04,2h24m00.58s,-6d29m51.8s,1,1,0,877622667.995,877622667.995
DES14X2ags,2014-09-04,2h24m00.58s,-6d29m51.8s,2,2,0,877622667.495,971948419.495
DES14X2bnz,2014-09-14,2h25m01.24s,-6d16m42.8s,1,1,0,877622667.995,877622667.995
DES14X2bnz,2014-09-14,2h25m01.24s,-6d16m42.8s,2,2,0,877622667.495,971948419.495
DES14X2byo,2014-09-22,2h23m46.93s,-6d08m12.3s,1,1,0,877622667.995,877622667.995
DES14X2byo,2014-09-22,2h23m46.93s,-6d08m12.3s,3,3,0,877622667.495,971948419.495
DES14X2dl,2014-08-18,2h22m44.29s,-6d03m48.9s,1,1,0,877622667.995,877622667.995
DES14X2dl,2014-08-18,2h22m44.29s,-6d03m48.9s,3,3,0,877622667.495,971948419.495
DES14X2rao,2014-12-10,2h24m01.9s,-6d48m38.2s,1,1,0,877622667.995,877622667.995
DES14X2rao,2014-12-10,2h24m01.9s,-6d48m38.2s,2,2,0,877622667.495,971948419.495
