SN Name,Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag,Magnitude and Filter,Separation,References,Notes,Photometry Points,Positions,Redshift Points,Diameter Points,Associations,Host Name,Search Type,Distance Modulus,Distance Modulus Error,Host PGC,Host Morphology,Host Morphology Code,Host Position
ESSENCEm138,GALEXASC J010856.24+003923.7,17.23479,0.65705,G,175978.0,0.5870000000000001,,,0.001,4,0,8,3,1,0,0,,loc,,,,,,
ESSENCEm193,WISEA J022852.28-074209.6,37.2175,-7.702719999999999,G,98932.0,0.33,,,0.001,5,0,12,2,1,0,0,,loc,,,,,,
ESSENCEm226,ESSENCE m226 HOST,31.51537,-4.66642,G,202360.0,0.675,,,0.0,4,0,0,1,1,0,0,,loc,,,,,,
ESSENCEn246,ESSENCE n246 HOST,18.637829999999997,-0.43977,G,211654.0,0.706,,,0.0,2,0,0,1,1,0,0,,loc,,,,,,
ESSENCEn256,ESSENCE n256 HOST,37.03754,-7.7971,G,,,,,0.001,5,0,0,1,0,0,0,,loc,,,,,,
ESSENCEn258,WISEA J020642.25-042237.6,31.67646,-4.37695,G,,,,,0.0,4,0,14,3,0,0,0,,loc,,,,,,
ESSENCEn263,GALEXASC J020514.76-045640.1,31.31229,-4.94419,G,,,,,0.0,5,0,6,3,0,0,0,,loc,,,,,,
ESSENCEn278,ESSENCE n278 HOST,352.07313,-9.38677,G,91137.0,0.304,,,0.0,5,0,0,1,1,0,0,,loc,,,,,,
ESSENCEn285,WISEA J232351.27-082320.5,350.96396,-8.38846,G,,,,,0.0,5,0,16,3,0,0,0,,loc,,,,,,
ESSENCEn322,WISEA J022900.50-090254.2,37.251999999999995,-9.04804,G,,,,,0.001,2,0,12,2,0,0,0,,loc,,,,,,
ESSENCEn404,WISEA J023131.58-085511.0,37.88154,-8.91964,G,,,,19.4r,0.037000000000000005,5,0,31,3,0,4,0,SDSS J023131.56-085510.7,loc,,,,,,
ESSENCEn406,ESSENCE n406 HOST,37.83167,-8.75271,G,,,,,0.001,2,0,0,1,0,0,0,,loc,,,,,,
ESSENCEp434,ESSENCE p434 HOST,18.16771,0.24906,G,101630.0,0.33899999999999997,,,0.0,2,0,0,1,1,0,0,,loc,,,,,,
ESSENCEp445,ESSENCE p445,18.31061,0.81324,SN,241903.0,0.8069,SPEC,,,1,0,0,1,1,0,0,,name,,,,,,
ESSENCEp454,ESSENCE p454 HOST,32.13521,-3.5595,G,,,,,0.0,5,0,0,1,0,0,0,,loc,,,,,,
ESSENCEp455,ESSENCE p455 HOST,32.75008,-4.16044,G,89338.0,0.298,,,0.0,5,0,0,1,1,0,0,,loc,,,,,,
ESSENCEp459,ESSENCE p459,32.58367,-4.553730000000001,SN,210454.0,0.7020000000000001,SN,,,1,0,0,1,1,0,0,,name,,,,,,
ESSENCEp520,ESSENCE p520 HOST,32.038920000000005,-3.8014,G,,,,,0.001,2,0,0,1,0,0,0,,loc,,,,,,
ESSENCEp524,ESSENCE p524 HOST,37.54233,-8.88079,G,,,,,0.001,5,0,0,1,0,0,0,,loc,,,,,,
ESSENCEp527,WISEA J020810.39-033217.4,32.043620000000004,-3.53825,G,130410.0,0.435,,,0.0,2,0,12,2,1,0,0,,loc,,,,,,
ESSENCEp528,ESSENCE p528 HOST,31.76942,-3.46788,G,234138.0,0.7809999999999999,,,0.001,4,0,0,1,1,0,0,,loc,,,,,,
ESSENCEp534,ESSENCE p534 HOST,31.23371,-3.8176900000000002,G,185572.0,0.619,,,0.001,4,0,0,1,1,0,0,,loc,,,,,,
ESSENCEq002,ESSENCE q002,31.30394,-3.6502,SN,103998.0,0.3469,SPEC,,,1,0,0,1,1,0,0,,name,,,,,,
ESSENCEq006,ESSENCE q006,32.71782,-3.9609400000000003,SN,86940.0,0.29,SN,,,1,0,0,1,1,0,0,,name,,,,,,
ESSENCEq018,SDSS J023138.34-081817.3,37.90978,-8.30482,G,,,,22.1g,0.262,0,0,19,2,0,4,0,,loc,,,,,,
ESSENCEq021,ESSENCE q021,38.433,-8.09724,SN,107925.0,0.36,SN,,,1,0,0,1,1,0,0,,name,,,,,,
ESSENCEs354,ESSENCE s354,31.54368,-5.08972,SN,167524.0,0.5588,SPEC,,,1,0,0,1,1,0,0,,name,,,,,,
ESSENCEs380,ESSENCE s380,32.2502,-5.12827,SN,190518.0,0.6355,SPEC,,,1,0,0,1,1,0,0,,name,,,,,,
ESSENCEx039,ESSENCE x039,37.32526,-7.6504,SN,231140.0,0.7709999999999999,SN,,,1,0,0,1,1,0,0,,name,,,,,,
ESSENCEx093,SDSS J022943.58-090652.3,37.4316,-9.11455,G,,,,23.1g,0.11900000000000001,0,0,15,1,0,4,0,,loc,,,,,,
Eagle,Eagle Galaxy,214.91385,52.93023,G,230394.0,0.768512,,22.2g,,13,0,38,10,7,4,0,GOODS J123720.85+621340.7,name,,,,,,
Emma,FLX J143430.10+342657.0,218.62562999999997,34.449220000000004,G,368745.0,1.23,,15.9V,,6,0,10,3,2,0,0,FLX J143430.10+342657.0,host,,,,,,
Frida,SCP 05D00 HOST,35.42517,-3.3650300000000004,G,303750.0,1.0132,,21.9z,,5,0,10,2,2,0,0,[ADP2008] J022142.04-032154.1,host,,,,,,
Gabi,S-CANDELS J123613.82+621207.1,189.05763000000002,62.2021,G,335768.0,1.12,,,,10,0,0,2,0,0,0,[RSC2007] J123613.83+621207.56,host,,,,,,
HST04Man,ACS-GC 50013390,189.14533,62.26364,G,256185.0,0.85454,,21.61,,22,0,26,4,12,0,1,GOODS J123634.92+621549.1,host,,,,,,
HST04Sas,S-CANDELS J123654.11+620821.7,189.22563,62.13939,G,133836.0,0.44643,,22.9R,,20,0,21,3,2,0,1,GOODS J123654.15+620821.8,host,,,,,,
HST05Dic,SN HST05Dic,188.95671000000002,62.169990000000006,SN,,,,<23,0.0,4,0,0,2,0,0,1,,loc,,,,,,
HST05Fer,[RSC2007] J123625.10+621523.84,189.10458,62.25662,G,305788.0,1.02,,,,9,0,0,1,0,0,1,[RSC2007] J123625.10+621523.84,host,,,,,,
HST05Koe,MIPS J123622.9+621822.7,189.09563,62.30635,G,368745.0,1.23,,25.6R,,9,0,2,1,1,0,1,[RSC2007] J123622.92+621823.20,host,,,,,,
HST05Lan,S-CANDELS J123656.72+621252.5,189.23633,62.214580000000005,G,369965.0,1.23407,,24.03,,35,0,41,8,15,0,1,GOODS J123656.59+621253.1,host,,,,,,
Hawk,ACS-GC 50015503,188.92083,62.193369999999994,G,148916.0,0.49673,,22.3R,,13,0,23,4,1,0,0,GOODS J123540.97+621136.5,host,,,,,,
K0509-001,WISEA J212616.26-003314.1,321.56772,-0.55392,G,64036.0,0.2136,,19.5g,0.006999999999999999,4,0,37,5,2,4,0,SDSS J12616.25-003314.1,loc,,,,,,
Lauren,GALEXMSC J033744.44-284353.6,54.435469999999995,-28.73183,G,246130.0,0.821,,,0.0,3,0,4,2,1,0,0,,loc,,,,,,
McGuire,CANDELS J033209.89-274951.4,53.041230000000006,-27.830940000000002,G,410716.0,1.37,,24.1R,,19,0,51,5,6,0,0,COMBO-17 29383,host,,,,,,
Noa,[SRG2009] 20014,187.36546,1.8485599999999998,G,290499.0,0.9690000000000001,,,,2,0,0,2,1,0,0,[SRG2009] 20014,host,,,,,,
PS0909010,SN 2009kt,37.11821,-4.07892,SN,,,,<21.5,0.0,5,0,0,4,0,0,0,,loc,,,,,,
PS1-1000004,PS1-10d,53.36645,-28.37152,SN,69252.0,0.231,,,0.0,1,0,0,1,1,0,0,,loc,,,,,,
PS1-1000005,PS1-10e,149.74899,3.15753,SN,73449.0,0.245,,,0.0,1,0,0,1,1,0,0,,loc,,,,,,
PS1-1000007,PS1-10g,35.877959999999995,-4.6363199999999996,SN,41072.0,0.13699999999999998,,,0.0,1,0,0,1,1,0,0,,loc,,,,,,
PS1-1000008,PS1-10h,36.06644,-3.18654,SN,74948.0,0.25,,,0.0,1,0,0,1,1,0,0,,loc,,,,,,
PS1-1000009,PS1-10i,35.095659999999995,-4.67251,SN,44969.0,0.15,,,0.0,1,0,0,1,1,0,0,,loc,,,,,,
PS1-1000790,SDSS J213328.65+102038.1,323.36941,10.343919999999999,G,,,,21.2g,0.032,0,0,15,1,0,4,0,,loc,,,,,,
PS1-10acx,PS1-10acx,241.47537000000003,55.19786,SN,104927.0,0.35,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-10bls,PS1-10bls,53.06715,-27.194309999999998,SN,82743.0,0.276,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-10byr,PS1-10byr,334.46167,1.04272,SN,71950.0,0.24,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-10byw,WISEA J221528.12+013257.6,333.86721,1.54934,IrS,,,,,0.017,0,0,12,1,0,0,0,,loc,,,,,,
PS1-10ia,PS1-10ia,212.87941,53.57958000000001,SN,122615.0,0.409,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-10if,PS1-10if,150.08831999999998,1.41813,SN,44969.0,0.15,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-10im,PS1-10im,162.5245,58.77741999999999,SN,152894.0,0.51,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-10io,PS1-10io,150.1834,3.4039699999999997,SN,65954.0,0.22,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-10j,PS1-10j,162.30925,58.46723000000001,SN,130710.0,0.436,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-10ka,ELAIS02(R) J161110.1+550718,242.7921,55.12177,G,,,,23.9R,0.044000000000000004,1,0,2,2,0,0,0,,loc,,,,,,
PS1-10m,PS1-10m,150.53914,1.89917,SN,185272.0,0.618,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-10o,PS1-10o,150.53676000000002,2.7185599999999996,SN,65954.0,0.22,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-10s,PS1-10s,148.98846,2.26346,SN,30279.0,0.10099999999999999,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-11aac,SDSS J141517.45+541755.5,213.82272999999998,54.29877,G,,,,22.3g,0.026000000000000002,0,0,15,1,0,4,0,,loc,,,,,,
PS1-11at,PS1-11at,150.47095,2.04265,SN,95934.0,0.32,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-11bg,PS1-11bg,150.99525,2.26242,SN,98632.0,0.32899999999999996,,,0.0,1,0,0,1,1,0,0,,loc,,,,,,
PS1-11bk,PS1-11bk,149.08234,1.40947,SN,47967.0,0.16,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-11fi,PS1-11fi,213.23779,52.74366,SN,24583.0,0.08199999999999999,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-11kk,PS1-11kk,242.70532000000003,55.25147,SN,89938.0,0.3,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-11kl,SDSS J162120.06+550023.9,245.33359,55.00666999999999,G,,,,19.7g,0.076,0,0,25,2,0,4,0,,loc,,,,,,
PS1-11uw,PS1-11uw,241.23452999999998,54.87814,SN,89938.0,0.3,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-11w,PS1-11w,163.68243,58.62656,SN,52164.0,0.174,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-11yj,PS1-11yj,242.12695,53.68532,SN,32078.0,0.107,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-11yu,PS1-11yu,243.19241,54.87372,SN,107925.0,0.36,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-11zu,PS1-11zu,241.61742999999998,53.8718,SN,107925.0,0.36,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-11zv,PS1-11zv,242.9048,53.97026999999999,SN,104927.0,0.35,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-11zw,PS1-11zw,242.60756,54.14958000000001,SN,126812.0,0.423,,,,1,0,0,1,1,0,0,,name,,,,,,
PS1-12sf,WISEA J100615.71+022424.5,151.56537,2.40687,G,,,,19.1g,0.057999999999999996,0,0,33,3,0,4,0,,loc,,,,,,
PS1-13lo,WISEA J095911.91+031315.5,149.79962,3.221,G,,,,20.3g,0.059000000000000004,0,0,35,4,0,4,0,,loc,,,,,,
PSc000022,WISEA J022434.58-042342.4,36.144079999999995,-4.3951400000000005,G,82874.0,0.276439,PHOT,18.8R,0.026000000000000002,4,0,51,9,0,0,0,,loc,,,,,,
PSc000200,WISEA J100231.49+024203.8,150.63124,2.70106,G,133078.0,0.4439,PHOT,22.3g,0.012,9,0,38,6,5,4,0,,loc,,,,,,
PSc000210,WISEA J095752.65+030032.2,149.46966,3.00884,G,,,,23.1g,0.018000000000000002,0,0,29,3,0,4,0,,loc,,,,,,
PSc000418,WISEA J095825.73+014139.5,149.60717,1.69429,G,245830.0,0.82,PHOT,22.1g,0.009000000000000001,8,0,38,8,6,4,0,,loc,,,,,,
PSc000552,SDSS J100026.66+022859.2,150.11109,2.48313,G,81544.0,0.272,PHOT,20.6g,0.021,10,0,25,6,5,4,0,,loc,,,,,,
PSc010014,WISEA J100154.27+010904.0,150.47609,1.15105,G,,,,20.09,0.057,1,0,39,6,0,4,0,,loc,,,,,,
PSc010055,WISEA J100502.95+015753.7,151.26236,1.9648700000000001,G,,,,20.1g,0.006,0,0,35,4,0,4,0,,loc,,,,,,
PSc010218,WISEA J095432.78+015638.4,148.63662,1.94399,*,100430.0,0.335,PHOT,22.0g,0.08,3,0,21,3,1,4,0,,loc,,,,,,
PSc020104,WISEA J095836.76+021737.3,149.65338,2.29374,G,80944.0,0.27,PHOT,20.5g,0.01,4,0,36,5,3,4,0,,loc,,,,,,
PSc020194,SDSS J095834.81+004951.6,149.64507,0.83101,G,,,,21.2g,0.006999999999999999,0,0,15,1,0,4,0,,loc,,,,,,
PSc030007,WISEA J140923.61+533706.5,212.34851,53.6186,G,,,,21.5g,0.001,0,0,31,3,0,4,0,,loc,,,,,,
PSc030216,WISEA J141456.63+541243.0,213.73597999999998,54.21201,G,,,,19.2g,0.033,0,0,27,2,0,4,0,,loc,,,,,,
PSc040121,SDSS J103903.89+583526.8,159.76623,58.59078,G,,,,22.6g,0.023,0,0,19,2,0,4,0,,loc,,,,,,
PSc040139,SDSS J141709.87+530511.3,214.29113999999998,53.0865,G,79925.0,0.2666,,20.4g,0.004,8,0,36,3,6,4,0,,loc,,,,,,
PSc040147,WISEA J141540.49+541343.7,213.91862999999998,54.2288,G,,,,21.4g,0.004,0,0,31,3,0,4,0,,loc,,,,,,
PSc040316,WISEA J141123.45+522604.0,212.84772,52.434430000000006,G,,,,22.4g,0.012,0,0,31,3,0,4,0,,loc,,,,,,
PSc040318,WISEA J141719.78+530645.1,214.33247000000003,53.11254,G,92636.0,0.309,PHOT,21.1g,0.003,1,0,31,3,1,4,0,,loc,,,,,,
PSc040477,WISEA J162033.94+544823.8,245.14151,54.80664,G,,,,20.3g,0.008,0,0,41,4,0,4,0,,loc,,,,,,
PSc040511,WISEA J160739.87+550727.9,241.91612999999998,55.124430000000004,G,,,,20.3g,0.039,0,0,45,5,0,4,0,,loc,,,,,,
PSc040512,WISEA J160801.00+541325.1,242.00444,54.22359,G,,,,21.6g,0.012,1,0,47,6,0,4,0,,loc,,,,,,
PSc040540,WISEA J140837.47+523936.5,212.15606,52.6602,G,,,,22.2g,0.008,2,0,27,2,0,4,0,,loc,,,,,,
PSc040693,WISEA J141527.83+522349.9,213.86599999999999,52.39723,G,,,,22.7g,0.004,2,0,29,3,0,4,0,,loc,,,,,,
PSc040783,SDSS J161106.81+544948.8,242.7784,54.83025,G,98567.0,0.328783,SPEC,20.5g,0.018000000000000002,3,0,33,5,1,4,0,,loc,,,,,,
PSc050004,RCS 06200601789,212.70586,53.83813000000001,G,53663.0,0.179,PHOT,22.9R,0.012,1,0,0,1,1,0,0,,loc,,,,,,
PSc050298,WISEA J161237.82+554313.4,243.15775,55.72068,G,,,,21.7g,0.024,0,0,41,4,0,4,0,,loc,,,,,,
PSc050617,RCS 06101104560,214.60788,53.91198000000001,G,74049.0,0.247,PHOT,19.1R,0.005,1,0,0,1,1,0,0,,loc,,,,,,
PSc050625,WISEA J160718.09+534947.5,241.8255,53.82989,G,,,,19.7R,0.012,1,0,24,4,0,0,0,,loc,,,,,,
PSc050656,WISEA J161650.39+543846.0,244.20976000000002,54.646080000000005,G,,,,22.8g,0.015,0,0,37,3,0,4,0,,loc,,,,,,
PSc050665,WISEA J161034.63+545725.5,242.64436,54.95704,G,,,,22.4g,0.021,2,0,39,4,0,4,0,,loc,,,,,,
PSc051109,WISEA J161211.21+540033.1,243.04727000000003,54.00921999999999,G,,,,20.5g,0.031,1,0,45,6,0,4,0,,loc,,,,,,
PSc052136,WISEA J141254.60+524733.9,213.22766000000001,52.79289,G,,,,22.9g,0.043,0,0,27,2,0,4,0,,loc,,,,,,
PSc060015,WISEA J160349.96+541237.3,240.95817000000002,54.21037,G,,,,20.0g,0.046,1,0,41,6,0,4,0,,loc,,,,,,
PSc060199,GALEXMSC J140939.36+533835.1,212.41402999999997,53.64311,UvS,,,,,0.031,0,0,4,1,0,0,0,,loc,,,,,,
PSc060238,WISEA J221442.41+004754.4,333.67668,0.7985399999999999,G,,,,20.5g,0.054000000000000006,1,0,31,4,1,4,0,,loc,,,,,,
PSc060242,WISEA J141236.30+540300.4,213.15117,54.05011999999999,G,26082.0,0.087,PHOT,18.8g,0.035,1,0,27,2,1,4,0,,loc,,,,,,
PSc060249,WISEA J221951.37+005350.3,334.96409,0.89735,G,,,,21.7g,0.024,1,0,27,3,1,4,0,,loc,,,,,,
PSc061190,GALEXMSC J022243.48-045711.8,35.68073,-4.95362,G,245740.0,0.819701,PHOT,22.0r,0.067,1,0,14,3,0,0,0,,loc,,,,,,
PSc061191,WISEA J022506.54-050003.6,36.27707,-5.00103,VisS,119793.0,0.39958699999999997,PHOT,20.1r,0.011000000000000001,1,0,26,4,0,0,0,,loc,,,,,,
PSc061192,SSTSL2 J022030.90-045948.9,35.12878,-4.99693,IrS,,,,,0.052000000000000005,0,0,8,1,0,0,0,,loc,,,,,,
PSc061197,WISEA J022154.59-041118.7,35.47746,-4.18863,VisS,81116.0,0.270574,PHOT,19.7r,0.001,1,0,30,5,0,0,0,,loc,,,,,,
PSc070003,WISEA J221209.95+004309.3,333.04143,0.71926,G,41263.0,0.137638,SPEC,19.2g,0.003,1,0,36,7,2,4,0,,loc,,,,,,
PSc070048,SSTSL2 J160404.03+541156.0,241.01681000000002,54.198890000000006,IrS,,,,,0.013000000000000001,0,0,10,1,0,0,0,,loc,,,,,,
PSc070054,WISEA J161145.16+551757.6,242.93823999999998,55.29931,G,134169.0,0.44754099999999997,SPEC,20.9g,0.018000000000000002,2,0,45,6,1,4,0,,loc,,,,,,
PSc070071,WISEA J221956.45-002631.9,334.98523,-0.44218,G,,,,20.4g,0.016,0,0,27,2,0,4,0,,loc,,,,,,
PSc070096,WISEA J161230.93+534832.8,243.12884,53.809090000000005,G,,,,21.9g,0.043,1,0,39,4,0,4,0,,loc,,,,,,
PSc070175,WISEA J160736.72+544834.9,241.90305,54.8097,G,,,,22.9g,0.013000000000000001,1,0,39,4,0,4,0,,loc,,,,,,
PSc070470,SSTSL2 J021948.04-034211.0,34.95017,-3.70298,VisS,69033.0,0.230269,PHOT,22.0r,0.009000000000000001,1,0,8,2,0,0,0,,loc,,,,,,
PSc070530,WISEA J022509.74-050235.7,36.290659999999995,-5.04305,G,89989.0,0.30017,PHOT,19.1r,0.026000000000000002,1,0,22,3,0,0,0,,loc,,,,,,
PSc070567,WISEA J221318.41+004845.9,333.32676000000004,0.81275,G,51084.0,0.170399,,18.9g,0.011000000000000001,6,0,62,8,2,8,0,,loc,,,,,,
PSc070611,WISEA J161809.06+535817.2,244.53777999999997,53.97146,IrS,,,,,0.039,0,0,12,1,0,0,0,,loc,,,,,,
PSc071007,WISEA J221537.47+011539.1,333.90615,1.26086,IrS,,,,,0.006999999999999999,0,0,12,1,0,0,0,,loc,,,,,,
PSc071011,WISEA J221249.27-004224.4,333.20526,-0.7068800000000001,G,,,,22.2g,0.013999999999999999,0,0,31,3,0,4,0,,loc,,,,,,
PSc071032,WISEA J221913.24+005225.2,334.80519,0.87365,G,85411.0,0.2849,:,20.9g,0.013999999999999999,2,0,31,3,1,4,0,,loc,,,,,,
PSc071113,WISEA J161144.14+550851.5,242.93398,55.14759,G,,,,22.6g,0.013999999999999999,2,0,39,4,0,4,0,,loc,,,,,,
PSc071245,GALEXMSC J221502.92-005157.0,333.76219,-0.86585,UvS,,,,,0.043,0,0,4,1,0,0,0,,loc,,,,,,
PSc080012,WISEA J221408.36-001006.7,333.53495,-0.16845,G,157721.0,0.5261,,23.6g,0.025,1,0,27,2,0,4,0,,loc,,,,,,
PSc080034,WISEA J221524.68+003210.6,333.85291,0.53623,G,160961.0,0.536909,SPEC,21.3g,0.022000000000000002,3,0,27,4,3,4,0,,loc,,,,,,
PSc080064,PS1-10aeq,52.4253,-27.87725,SN,19786.0,0.066,,,0.0,1,0,0,1,1,0,0,,loc,,,,,,
PSc080146,WISEA J033119.16-265154.5,52.830330000000004,-26.864829999999998,UvS,,,,,0.04,0,0,40,5,0,0,0,,loc,,,,,,
PSc080241,SSTSL2 J032832.45-280417.6,52.13523,-28.071559999999998,IrS,,,,,0.004,0,0,10,1,0,0,0,,loc,,,,,,
PSc080252,SSTSL2 J022441.60-034700.0,36.17328,-3.78326,VisS,158160.0,0.527566,PHOT,22.1r,0.006999999999999999,1,0,8,2,0,0,0,,loc,,,,,,
PSc080261,GALEXASC J033511.78-271147.7,53.79909,-27.196590000000004,UvS,,,,,0.04,0,0,8,2,0,0,0,,loc,,,,,,
PSc080295,VVDS 020383031,36.18105,-4.159619999999999,G,186414.0,0.6218100000000001,PHOT,22.3r,0.009000000000000001,3,0,0,2,0,0,0,,loc,,,,,,
PSc080296,WISEA J022149.67-035517.0,35.456959999999995,-3.92142,VisS,123676.0,0.412538,PHOT,19.6r,0.004,1,0,24,4,0,0,0,,loc,,,,,,
PSc080343,SSTSL2 J033728.62-274323.7,54.36926,-27.723259999999996,IrS,,,,,0.006999999999999999,0,0,8,1,0,0,0,,loc,,,,,,
PSc080363,WISEA J032638.76-275514.3,51.6615,-27.92062,G,,,,19.3r,0.013999999999999999,0,0,26,4,0,0,0,,loc,,,,,,
PSc080438,WISEA J033144.93-274056.2,52.9373,-27.6824,G,126213.0,0.42100000000000004,,20.9R,0.036000000000000004,9,0,49,8,4,0,0,,loc,,,,,,
PSc080554,SSTSL2 J022100.04-034018.7,35.25019,-3.6718800000000003,IrS,,,,,0.001,0,0,10,1,0,0,0,,loc,,,,,,
PSc080723,PS1-10ahk,34.98637,-3.96061,SN,129211.0,0.431,,,0.0,1,0,0,1,1,0,0,,loc,,,,,,
PSc080735,PS1-10ahl,333.87363,0.54191,SN,190368.0,0.635,,,0.0,1,0,0,1,1,0,0,,loc,,,,,,
PSc080771,WISEA J032816.47-280849.2,52.06863,-28.147009999999998,IrS,,,,,0.011000000000000001,0,0,12,1,0,0,0,,loc,,,,,,
PSc080772,WISEA J033135.89-281427.0,52.8996,-28.2408,UvS,,,,,0.004,0,0,40,5,0,0,0,,loc,,,,,,
PSc090107,WISEA J022257.97-041840.7,35.7415,-4.3112900000000005,G,71051.0,0.237,,17.5R,0.019,11,0,49,11,7,0,0,,loc,,,,,,
PSc090128,WISEA J022404.55-031334.6,36.01892,-3.22634,IrS,,,,,0.023,0,0,22,2,0,0,0,,loc,,,,,,
PSc090196,SSTSL2 J021924.05-043504.4,34.85025,-4.58461,VisS,121730.0,0.406048,PHOT,19.6r,0.027999999999999997,1,0,20,3,0,0,0,,loc,,,,,,
PSc090275,PS1-10ayb,54.07209,-28.051509999999997,SN,41971.0,0.14,,,0.0,1,0,0,1,1,0,0,,loc,,,,,,
