Name,Disc. Date,Band,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch,Next Epoch,File
ESSENCEm075,2005-09-26,FUV,23h24m42.29s,-8d29m08.7s,4,1,3,708,1064,360,ESSENCEm075-FUV.fits.gz
ESSENCEm075,2005-09-26,NUV,23h24m42.29s,-8d29m08.7s,12,1,11,708,2209,360,ESSENCEm075-NUV.fits.gz
ESSENCEm087,2004-12-15,FUV,2h33m37.004s,-8d27m32.462s,4,3,1,54,325,325,ESSENCEm087-FUV.fits.gz
ESSENCEm138,2005-10-06,FUV,1h08m56.35s,0d39m25.4s,4,2,2,730,1090,718,ESSENCEm138-FUV.fits.gz
ESSENCEm138,2005-10-06,NUV,1h08m56.35s,0d39m25.4s,8,2,6,730,1818,718,ESSENCEm138-NUV.fits.gz
ESSENCEm158,2005-10-06,FUV,23h24m03.53s,-9d23m18.2s,6,1,5,773,1067,375,ESSENCEm158-FUV.fits.gz
ESSENCEm226,2005-09-26,NUV,2h06m03.69s,-4d39m59.1s,39,1,38,674,1877,1478,ESSENCEm226-NUV.fits.gz
ESSENCEn246,2005-11-22,FUV,1h14m33.08s,-0d26m23.2s,5,1,4,777,1047,680,ESSENCEn246-FUV.fits.gz
ESSENCEn246,2005-11-22,NUV,1h14m33.08s,-0d26m23.2s,9,1,8,777,1771,680,ESSENCEn246-NUV.fits.gz
ESSENCEn258,2005-11-22,NUV,2h06m42.35s,-4d22m37s,43,1,42,731,1844,1421,ESSENCEn258-NUV.fits.gz
ESSENCEn263,2005-11-22,NUV,2h05m14.95s,-4d56m39.1s,40,2,38,410,1820,1421,ESSENCEn263-NUV.fits.gz
ESSENCEn278,2005-11-24,FUV,23h28m17.55s,-9d23m12.4s,8,4,4,446,326,296,ESSENCEn278-FUV.fits.gz
ESSENCEn278,2005-11-24,NUV,23h28m17.55s,-9d23m12.4s,14,4,10,446,1766,296,ESSENCEn278-NUV.fits.gz
ESSENCEn285,2005-11-08,FUV,23h23m51.35s,-8d23m18.5s,4,1,3,751,1021,317,ESSENCEn285-FUV.fits.gz
ESSENCEn285,2005-11-08,NUV,23h23m51.35s,-8d23m18.5s,12,1,11,751,2166,317,ESSENCEn285-NUV.fits.gz
ESSENCEn322,2005-11-22,FUV,2h29m00.48s,-9d02m53s,7,4,3,396,1054,696,ESSENCEn322-FUV.fits.gz
ESSENCEn322,2005-11-22,NUV,2h29m00.48s,-9d02m53s,13,4,9,396,1835,696,ESSENCEn322-NUV.fits.gz
ESSENCEn326,2005-11-24,FUV,23h29m58.59s,-8d53m12.5s,6,3,3,446,326,291,ESSENCEn326-FUV.fits.gz
ESSENCEn326,2005-11-24,NUV,23h29m58.59s,-8d53m12.5s,10,3,7,446,1766,291,ESSENCEn326-NUV.fits.gz
ESSENCEn400,2005-11-26,FUV,1h13m13.26s,-0d23m25.9s,6,1,5,781,1043,676,ESSENCEn400-FUV.fits.gz
ESSENCEn400,2005-11-26,NUV,1h13m13.26s,-0d23m25.9s,10,1,9,781,1767,676,ESSENCEn400-NUV.fits.gz
ESSENCEp425,2005-11-24,FUV,23h29m56.19s,-8d34m24.3s,8,4,4,767,663,291,ESSENCEp425-FUV.fits.gz
ESSENCEp425,2005-11-24,NUV,23h29m56.19s,-8d34m24.3s,12,4,8,767,1766,291,ESSENCEp425-NUV.fits.gz
ESSENCEp429,2005-11-24,FUV,23h26m02.216s,-8d35m47.978s,7,3,4,446,1005,296,ESSENCEp429-FUV.fits.gz
ESSENCEp429,2005-11-24,NUV,23h26m02.216s,-8d35m47.978s,13,3,10,446,1766,296,ESSENCEp429-NUV.fits.gz
ESSENCEp434,2005-11-24,FUV,1h12m40.25s,0d14m56.6s,3,1,2,779,697,683,ESSENCEp434-FUV.fits.gz
ESSENCEp434,2005-11-24,NUV,1h12m40.25s,0d14m56.6s,12,1,11,779,2129,683,ESSENCEp434-NUV.fits.gz
ESSENCEp444,2005-11-24,FUV,2h06m36.165s,-3d41m33.614s,3,1,2,733,707,360,ESSENCEp444-FUV.fits.gz
ESSENCEp445,2005-11-24,FUV,1h13m14.547s,0d48m47.659s,9,1,8,423,1069,342,ESSENCEp445-FUV.fits.gz
ESSENCEp445,2005-11-24,NUV,1h13m14.547s,0d48m47.659s,19,1,18,423,2129,342,ESSENCEp445-NUV.fits.gz
ESSENCEp454,2005-11-24,FUV,2h08m32.45s,-3d33m34.2s,3,1,2,733,707,360,ESSENCEp454-FUV.fits.gz
ESSENCEp454,2005-11-24,NUV,2h08m32.45s,-3d33m34.2s,10,1,9,733,1839,360,ESSENCEp454-NUV.fits.gz
ESSENCEp520,2005-12-24,FUV,2h08m09.34s,-3d48m05s,3,1,2,763,677,330,ESSENCEp520-FUV.fits.gz
ESSENCEp520,2005-12-24,NUV,2h08m09.34s,-3d48m05s,18,1,17,763,1812,330,ESSENCEp520-NUV.fits.gz
ESSENCEp527,2005-12-27,FUV,2h08m10.47s,-3d32m17.7s,3,1,2,766,674,327,ESSENCEp527-FUV.fits.gz
ESSENCEp527,2005-12-27,NUV,2h08m10.47s,-3d32m17.7s,10,1,9,766,1806,327,ESSENCEp527-NUV.fits.gz
ESSENCEp528,2005-11-30,FUV,2h07m04.66s,-3d28m04.4s,3,1,2,739,701,354,ESSENCEp528-FUV.fits.gz
ESSENCEp528,2005-11-30,NUV,2h07m04.66s,-3d28m04.4s,12,1,11,739,1836,354,ESSENCEp528-NUV.fits.gz
ESSENCEp534,2005-12-24,FUV,2h04m56.09s,-3d49m03.7s,3,1,2,763,677,330,ESSENCEp534-FUV.fits.gz
ESSENCEp534,2005-12-24,NUV,2h04m56.09s,-3d49m03.7s,12,1,11,763,1812,330,ESSENCEp534-NUV.fits.gz
ESSENCEq002,2006-09-16,FUV,2h05m12.945s,-3d39m00.723s,3,1,2,1029,411,64,ESSENCEq002-FUV.fits.gz
ESSENCEq002,2006-09-16,NUV,2h05m12.945s,-3d39m00.723s,12,1,11,1029,1546,64,ESSENCEq002-NUV.fits.gz
ESSENCEq006,2006-09-16,FUV,2h10m52.276s,-3d57m39.374s,3,1,2,1029,411,64,ESSENCEq006-FUV.fits.gz
ESSENCEq006,2006-09-16,NUV,2h10m52.276s,-3d57m39.374s,13,1,12,1029,1543,64,ESSENCEq006-NUV.fits.gz
ESSENCEq021,2006-09-16,FUV,2h33m43.919s,-8d05m50.05s,6,3,3,694,768,398,ESSENCEq021-FUV.fits.gz
ESSENCEq021,2006-09-16,NUV,2h33m43.919s,-8d05m50.05s,11,3,8,694,1546,398,ESSENCEq021-NUV.fits.gz
ESSENCEq022,2006-09-11,FUV,1h12m03.864s,-0d01m28.9452s,5,1,4,1070,742,387,ESSENCEq022-FUV.fits.gz
ESSENCEq022,2006-09-11,NUV,1h12m03.864s,-0d01m28.9452s,14,1,13,1070,1838,387,ESSENCEq022-NUV.fits.gz
ESSENCEr185,2006-10-31,FUV,1h11m48.245s,-0d29m49.46s,4,1,3,1120,692,337,ESSENCEr185-FUV.fits.gz
ESSENCEr185,2006-10-31,NUV,1h11m48.245s,-0d29m49.46s,8,1,7,1120,1428,337,ESSENCEr185-NUV.fits.gz
ESSENCEs354,2006-11-26,NUV,2h06m10.482s,-5d05m23s,65,2,63,779,1451,1052,ESSENCEs354-NUV.fits.gz
ESSENCEs372,2006-12-13,FUV,2h08m24.257s,-3d27m32.636s,3,2,1,1117,323,324,ESSENCEs372-FUV.fits.gz
ESSENCEs372,2006-12-13,NUV,2h08m24.257s,-3d27m32.636s,10,2,8,1117,1455,324,ESSENCEs372-NUV.fits.gz
ESSENCEx039,2007-09-17,FUV,2h29m18.063s,-7d39m01.433s,2,1,1,301,390,391,ESSENCEx039-FUV.fits.gz
ESSENCEx039,2007-09-17,NUV,2h29m18.063s,-7d39m01.433s,13,1,12,301,1181,391,ESSENCEx039-NUV.fits.gz
ESSENCEx093,2007-10-08,FUV,2h29m43.134s,-9d06m54.931s,7,4,3,1081,369,11,ESSENCEx093-FUV.fits.gz
ESSENCEx093,2007-10-08,NUV,2h29m43.134s,-9d06m54.931s,14,4,10,1081,1150,11,ESSENCEx093-NUV.fits.gz
Eagle,2004-11-06,FUV,12h37m20.75s,62d13m41.5s,82,44,38,285,1291,474,Eagle-FUV.fits.gz
Eagle,2004-11-06,NUV,12h37m20.75s,62d13m41.5s,131,77,54,285,2314,162,Eagle-NUV.fits.gz
Emma,2006-04-22,NUV,14h34m30.139s,34d26m57.29s,38,13,25,334,1066,17,Emma-NUV.fits.gz
Frida,2005-08-07,FUV,2h21m42.066s,-3d21m53.12s,25,2,23,265,1202,68,Frida-FUV.fits.gz
Frida,2005-08-07,NUV,2h21m42.066s,-3d21m53.12s,51,2,49,265,1923,68,Frida-NUV.fits.gz
Gabi,2005-04-14,FUV,12h36m13.83s,62d12m07.56s,82,44,38,444,1132,315,Gabi-FUV.fits.gz
Gabi,2005-04-14,NUV,12h36m13.83s,62d12m07.56s,131,77,54,444,2155,3,Gabi-NUV.fits.gz
HST04Man,2004-05-20,FUV,12h36m34.853s,62d15m48.86s,81,43,38,66,1461,644,HST04Man-FUV.fits.gz
HST04Man,2004-05-20,NUV,12h36m34.853s,62d15m48.86s,130,76,54,112,2484,332,HST04Man-NUV.fits.gz
HST04Sas,2004-05-23,FUV,12h36m54.125s,62d08m22.21s,82,44,38,118,1458,641,HST04Sas-FUV.fits.gz
HST04Sas,2004-05-23,NUV,12h36m54.125s,62d08m22.21s,131,77,54,118,2481,329,HST04Sas-NUV.fits.gz
HST05Dic,2005-04-12,FUV,12h35m49.61s,62d10m11.96s,81,43,38,393,1134,317,HST05Dic-FUV.fits.gz
HST05Dic,2005-04-12,NUV,12h35m49.61s,62d10m11.96s,130,76,54,439,2157,5,HST05Dic-NUV.fits.gz
HST05Fer,2005-04-12,FUV,12h36m25.1s,62d15m23.84s,81,43,38,393,1134,317,HST05Fer-FUV.fits.gz
HST05Fer,2005-04-12,NUV,12h36m25.1s,62d15m23.84s,130,76,54,439,2157,5,HST05Fer-NUV.fits.gz
HST05Koe,2005-04-12,FUV,12h36m22.92s,62d18m23.2s,81,43,38,393,1134,317,HST05Koe-FUV.fits.gz
HST05Koe,2005-04-12,NUV,12h36m22.92s,62d18m23.2s,130,76,54,439,2157,5,HST05Koe-NUV.fits.gz
HST05Lan,2005-02-25,FUV,12h36m56.72s,62d12m53.33s,82,44,38,396,1180,363,HST05Lan-FUV.fits.gz
HST05Lan,2005-02-25,NUV,12h36m56.72s,62d12m53.33s,131,77,54,396,2203,51,HST05Lan-NUV.fits.gz
Hawk,2004-11-05,FUV,12h35m41.16s,62d11m37.19s,81,43,38,235,1292,475,Hawk-FUV.fits.gz
Hawk,2004-11-05,NUV,12h35m41.16s,62d11m37.19s,130,76,54,281,2315,163,Hawk-NUV.fits.gz
Jennie,2006-08-18,NUV,2h23m00.082s,-4d36m03.04s,54,12,42,641,1547,64,Jennie-NUV.fits.gz
Maggie,2005-10-10,NUV,2h21m46.484s,-3d22m56.18s,51,2,49,329,1859,4,Maggie-NUV.fits.gz
McGuire,2004-09-16,FUV,3h32m10.02s,-27d49m49.98s,104,39,65,311,1556,401,McGuire-FUV.fits.gz
McGuire,2004-09-16,NUV,3h32m10.02s,-27d49m49.98s,221,39,182,311,2274,401,McGuire-NUV.fits.gz
Naima,2006-08-18,NUV,2h20m57.699s,-3d33m23.97s,72,6,66,641,1547,57,Naima-NUV.fits.gz
PS0909010,2009-09-12,NUV,2h28m28.368s,-4d04m44.08s,26,2,24,1027,426,45,PS0909010-NUV.fits.gz
PS1-1000004,2010-01-11,NUV,3h33m27.948s,-28d22m17.48s,142,131,11,2254,331,314,PS1-1000004-NUV.fits.gz
PS1-1000005,2010-01-12,NUV,9h58m59.758s,3d09m27.11s,42,22,20,1438,400,24,PS1-1000005-NUV.fits.gz
PS1-1000007,2010-01-10,NUV,2h23m30.711s,-4d38m10.76s,147,136,11,2223,306,289,PS1-1000007-NUV.fits.gz
PS1-1000008,2010-01-10,NUV,2h24m15.945s,-3d11m11.53s,54,35,19,1153,306,288,PS1-1000008-NUV.fits.gz
PS1-1000009,2010-01-10,NUV,2h20m22.959s,-4d40m21.03s,65,55,10,1903,306,289,PS1-1000009-NUV.fits.gz
PS1-1000790,2010-08-01,NUV,21h33m28.573s,10d20m39.54s,7,5,2,743,55,54,PS1-1000790-NUV.fits.gz
PS1-10acx,2010-08-16,NUV,16h05m54.089s,55d11m52.3s,63,55,8,2231,298,249,PS1-10acx-NUV.fits.gz
PS1-10bls,2010-11-07,NUV,3h32m16.116s,-27d11m39.51s,93,83,10,2554,31,14,PS1-10bls-NUV.fits.gz
PS1-10byr,2010-12-06,NUV,22h17m50.801s,1d02m33.8s,127,126,1,2653,310,310,PS1-10byr-NUV.fits.gz
PS1-10byw,2010-11-30,NUV,22h15m28.07s,1d32m58.15s,47,46,1,2305,255,255,PS1-10byw-NUV.fits.gz
PS1-10ia,2010-03-20,NUV,14h11m31.058s,53d34m46.48s,18,10,8,319,359,2,PS1-10ia-NUV.fits.gz
PS1-10if,2010-03-20,NUV,10h00m21.196s,1d25m05.25s,45,34,11,2225,333,2,PS1-10if-NUV.fits.gz
PS1-10im,2010-04-02,NUV,10h50m05.881s,58d46m38.71s,62,60,2,2260,340,341,PS1-10im-NUV.fits.gz
PS1-10io,2010-04-12,NUV,10h00m44.015s,3d24m14.31s,43,34,9,1528,310,294,PS1-10io-NUV.fits.gz
PS1-10j,2010-01-16,NUV,10h49m14.22s,58d28m02.04s,51,48,3,2184,416,5,PS1-10j-NUV.fits.gz
PS1-10k,2010-01-16,NUV,10h00m27.616s,2d41m38.52s,199,162,37,2166,396,19,PS1-10k-NUV.fits.gz
PS1-10ka,2010-05-16,NUV,16h11m10.31s,55d07m20.3s,49,40,9,2511,390,32,PS1-10ka-NUV.fits.gz
PS1-10m,2010-01-16,NUV,10h02m09.393s,1d53m57.01s,98,81,17,2166,429,22,PS1-10m-NUV.fits.gz
PS1-10n,2010-01-16,NUV,10h03m14.385s,3d08m39.21s,42,20,22,1418,739,19,PS1-10n-NUV.fits.gz
PS1-10o,2010-01-18,NUV,10h02m08.822s,2d43m06.83s,100,80,20,2168,394,17,PS1-10o-NUV.fits.gz
PS1-10p,2010-01-20,NUV,9h59m16.802s,1d36m48.55s,100,77,23,2170,413,16,PS1-10p-NUV.fits.gz
PS1-10s,2010-01-16,NUV,9h55m57.231s,2d15m48.47s,36,16,20,732,738,20,PS1-10s-NUV.fits.gz
PS1-11aac,2011-05-24,NUV,14h15m17.287s,54d17m56.14s,20,19,1,750,9,10,PS1-11aac-NUV.fits.gz
PS1-11at,2011-01-05,NUV,10h01m53.027s,2d02m33.53s,176,160,16,2520,75,27,PS1-11at-NUV.fits.gz
PS1-11bg,2011-01-11,NUV,10h03m58.861s,2d15m44.71s,39,28,11,2129,69,21,PS1-11bg-NUV.fits.gz
PS1-11bk,2011-01-11,NUV,9h56m19.761s,1d24m34.08s,38,29,9,2129,36,21,PS1-11bk-NUV.fits.gz
PS1-11fi,2011-02-05,NUV,14h12m57.07s,52d44m37.19s,20,18,2,641,37,36,PS1-11fi-NUV.fits.gz
PS1-11kk,2011-02-10,NUV,16h10m49.277s,55d15m05.31s,50,42,8,2781,120,71,PS1-11kk-NUV.fits.gz
PS1-11kl,2011-02-10,NUV,16h21m20.254s,55d00m19.76s,40,32,8,2401,120,71,PS1-11kl-NUV.fits.gz
PS1-11uw,2011-04-24,NUV,16h04m56.287s,54d52m41.3s,83,71,12,2482,47,2,PS1-11uw-NUV.fits.gz
PS1-11w,2011-01-05,NUV,10h54m43.784s,58d37m35.62s,87,85,2,2538,62,63,PS1-11w-NUV.fits.gz
PS1-11yj,2011-05-24,NUV,16h08m30.469s,53d41m07.17s,44,42,2,2567,17,14,PS1-11yj-NUV.fits.gz
PS1-11yu,2011-05-24,NUV,16h12m46.179s,54d52m25.4s,49,47,2,2884,17,13,PS1-11yu-NUV.fits.gz
PS1-11zu,2011-05-27,NUV,16h06m28.184s,53d52m18.49s,43,41,2,2570,14,11,PS1-11zu-NUV.fits.gz
PS1-11zv,2011-05-27,NUV,16h11m37.152s,53d58m12.96s,43,41,2,2570,14,11,PS1-11zv-NUV.fits.gz
PS1-11zw,2011-05-27,NUV,16h10m25.814s,54d08m58.48s,44,42,2,2570,14,11,PS1-11zw-NUV.fits.gz
PS1-12sf,2009-12-23,NUV,10h06m15.919s,2d24m24.74s,13,10,3,1745,763,453,PS1-12sf-NUV.fits.gz
PS1-13lo,2010-02-16,NUV,9h59m12.104s,3d13m17.64s,40,26,14,1473,365,6,PS1-13lo-NUV.fits.gz
PSc000022,2010-01-03,NUV,2h24m34.669s,-4d23m41.75s,200,190,10,2259,313,298,PSc000022-NUV.fits.gz
PSc000200,2010-01-08,NUV,10h02m31.517s,2d42m04.5s,96,76,20,2158,404,27,PSc000200-NUV.fits.gz
PSc000210,2010-01-08,NUV,9h57m52.693s,3d00m30.82s,49,28,21,1434,746,28,PSc000210-NUV.fits.gz
PSc000418,2010-01-08,NUV,9h58m25.701s,1d41m39s,105,82,23,2158,425,28,PSc000418-NUV.fits.gz
PSc000552,2010-01-16,NUV,10h00m26.58s,2d28m59.67s,179,160,19,2166,396,20,PSc000552-NUV.fits.gz
PSc010014,2010-01-21,NUV,10h01m54.194s,1d09m07.1s,49,25,24,1774,391,15,PSc010014-NUV.fits.gz
PSc010055,2010-02-04,NUV,10h05m02.987s,1d57m53.74s,40,17,23,1788,410,1,PSc010055-NUV.fits.gz
PSc010218,2010-02-09,NUV,9h54m32.47s,1d56m37.52s,33,17,16,756,372,1,PSc010218-NUV.fits.gz
PSc020047,2010-03-09,NUV,9h56m56.438s,1d36m49.8s,38,29,9,1821,344,329,PSc020047-NUV.fits.gz
PSc020104,2010-03-09,NUV,9h58m36.773s,2d17m37.7s,176,165,11,2218,365,329,PSc020104-NUV.fits.gz
PSc020194,2010-03-12,NUV,9h58m34.81s,0d49m52.09s,41,31,10,1824,373,326,PSc020194-NUV.fits.gz
PSc030007,2010-03-25,NUV,14h09m23.651s,53d37m06.96s,18,12,6,324,354,32,PSc030007-NUV.fits.gz
PSc030216,2010-04-12,NUV,14h14m56.573s,54d12m41.36s,18,12,6,342,336,14,PSc030216-NUV.fits.gz
PSc040121,2010-04-12,NUV,10h39m04.002s,58d35m25.74s,25,24,1,1912,277,277,PSc040121-NUV.fits.gz
PSc040139,2010-05-06,NUV,14h17m09.899s,53d05m11.39s,245,239,6,2512,392,311,PSc040139-NUV.fits.gz
PSc040147,2010-04-17,NUV,14h15m40.447s,54d13m43.84s,20,13,7,348,411,9,PSc040147-NUV.fits.gz
PSc040169,2010-05-10,NUV,10h49m29.312s,58d45m59.04s,51,49,2,2298,302,303,PSc040169-NUV.fits.gz
PSc040316,2010-05-10,NUV,14h11m23.481s,52d26m04.6s,20,18,2,370,308,307,PSc040316-NUV.fits.gz
PSc040318,2010-05-09,NUV,14h17m19.798s,53d06m45.28s,246,240,6,2515,389,308,PSc040318-NUV.fits.gz
PSc040477,2010-05-08,NUV,16h20m34.011s,54d48m24.17s,40,28,12,2123,398,2,PSc040477-NUV.fits.gz
PSc040511,2010-05-13,NUV,16h07m40.019s,55d07m29.93s,83,71,12,2191,393,36,PSc040511-NUV.fits.gz
PSc040512,2010-05-10,NUV,16h08m01.032s,54d13m24.24s,67,50,17,2188,396,39,PSc040512-NUV.fits.gz
PSc040540,2010-05-10,NUV,14h08m37.451s,52d39m37.15s,20,18,2,370,308,307,PSc040540-NUV.fits.gz
PSc040693,2010-05-16,NUV,14h15m27.863s,52d23m50.02s,19,17,2,376,302,301,PSc040693-NUV.fits.gz
PSc040783,2010-05-21,NUV,16h11m06.899s,54d49m49.74s,49,40,9,2516,385,27,PSc040783-NUV.fits.gz
PSc050004,2010-05-16,NUV,14h10m49.486s,53d50m17.45s,18,16,2,376,302,301,PSc050004-NUV.fits.gz
PSc050298,2010-05-14,NUV,16h12m38.024s,55d43m14.67s,24,14,10,369,392,37,PSc050298-NUV.fits.gz
PSc050617,2010-06-15,NUV,14h18m25.922s,53d54m43.07s,4,3,1,357,272,273,PSc050617-NUV.fits.gz
PSc050625,2010-06-15,NUV,16h07m18.197s,53d49m47.77s,43,34,9,2224,360,3,PSc050625-NUV.fits.gz
PSc050656,2010-06-15,NUV,16h16m50.373s,54d38m46.73s,46,36,10,2540,360,3,PSc050656-NUV.fits.gz
PSc050665,2010-06-05,NUV,16h10m34.502s,54d57m25.53s,49,40,9,2531,370,12,PSc050665-NUV.fits.gz
PSc051109,2010-04-09,NUV,16h12m11.536s,54d00m32.46s,52,38,14,2157,427,25,PSc051109-NUV.fits.gz
PSc052136,2010-06-13,NUV,14h12m54.447s,52d47m32.5s,20,18,2,404,274,273,PSc052136-NUV.fits.gz
PSc060015,2010-06-29,NUV,16h03m50.262s,54d12m36.57s,46,38,8,2238,346,297,PSc060015-NUV.fits.gz
PSc060141,2010-07-01,NUV,16h09m39.092s,54d16m08.94s,47,39,8,2240,344,295,PSc060141-NUV.fits.gz
PSc060199,2010-07-11,NUV,14h09m39.159s,53d38m35.01s,18,16,2,432,246,245,PSc060199-NUV.fits.gz
PSc060238,2010-07-11,NUV,22h14m42.32s,0d47m51.7s,67,48,19,2492,397,21,PSc060238-NUV.fits.gz
PSc060242,2010-07-11,NUV,14h12m36.512s,54d02m59.78s,24,23,1,432,246,247,PSc060242-NUV.fits.gz
PSc060249,2010-07-11,NUV,22h19m51.403s,0d53m51.82s,4,1,3,329,458,28,PSc060249-NUV.fits.gz
PSc061190,2010-07-30,NUV,2h22m43.622s,-4d57m11.44s,50,38,12,2083,105,88,PSc061190-NUV.fits.gz
PSc061191,2010-07-29,NUV,2h25m06.486s,-5d00m03.06s,121,111,10,2423,106,89,PSc061191-NUV.fits.gz
PSc061192,2010-07-29,NUV,2h20m30.796s,-4d59m51.58s,49,39,10,2103,106,89,PSc061192-NUV.fits.gz
PSc061197,2010-07-29,NUV,2h21m54.589s,-4d11m18.99s,74,56,18,2082,106,89,PSc061197-NUV.fits.gz
PSc070003,2010-07-31,NUV,22h12m09.952s,0d43m09.41s,42,34,8,2184,22,6,PSc070003-NUV.fits.gz
PSc070048,2010-05-22,NUV,16h04m04.105s,54d11m55.5s,57,49,8,2200,384,335,PSc070048-NUV.fits.gz
PSc070054,2010-08-03,NUV,16h11m45.287s,55d17m56.99s,48,40,8,2590,311,262,PSc070054-NUV.fits.gz
